Make,Model,Price,Year,Kilometer,Number of Owners,Engine (CC),Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Maruti Suzuki,Swift DZire VXI,450000,2017,75000,1,1197,3995,1695,1555,5,42
Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,649000,2020,52236,1,1197,3765,1660,1520,5,43
Audi,A3 35 TDI Premium + Sunroof,2900000,2019,15530,1,1968,4456,1796,1416,5,50
Maruti Suzuki,Swift DZire VDI,400000,2014,64000,1,1248,3995,1695,1555,5,42
Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,599000,2020,35000,1,1197,3805,1680,1520,5,37
Toyota,Fortuner 2.8 4x2 MT [2016-2020],2980000,2019,92000,1,2755,4795,1855,1835,7,80
Audi,A4 30 TFSI Technology Pack,3500000,2018,18000,1,1395,4726,1842,1427,5,54
Honda,Jazz V Petrol,400000,2016,50000,1,1199,3955,1694,1544,5,40
Mercedes-Benz,GLC 200 Progressive,6975000,2022,2000,1,1991,4658,1890,1644,5,66
Mercedes-Benz,GLE 250 d,5400000,2016,16000,1,2143,4819,2141,1796,5,93
Mercedes-Benz,GL-Class 350 CDI,3700000,2015,103890,2,2987,5120,1934,1850,7,100
Maruti Suzuki,Celerio ZXi [2017-2019],445000,2018,71000,1,998 ,3600,1600,1560,5,35
Mahindra,Thar LX 4-STR Hard Top Diesel MT,1475000,2021,12000,1,2184,3985,1820,1844,4,57
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2800000,2016,93000,1,2755,4795,1855,1835,7,80
Hyundai,Eon Magna [2011-2012],190000,2013,63000,2,814 ,3495,1550,1500,5,32
Maruti Suzuki,Swift VXi [2014-2017],600000,2020,10000,1,1197,3850,1695,1530,5,42
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],1835000,2020,33828,1,1493,4315,1800,1645,5,50
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],550000,2019,48000,1,998 ,3655,1620,1675,5,60
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],715000,2017,71000,1,1248,3995,1790,1640,5,48
Mahindra,XUV700 AX 7 Diesel AT 7 STR,2540000,2022,18000,1,2184,4695,1890,1755,7,60
Maruti Suzuki,Wagon R LXi (O) 1.0 CNG [2019-2020],525000,2019,50000,1,998 ,3655,1620,1675,5,60
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],425000,2015,48000,1,1197,3765,1660,1520,5,43
Hyundai,Elite i20 Sportz 1.2 IVT,795000,2022,4000,1,1197,3995,1775,1505,5,37
Honda,City 1.5 V MT,269000,2010,73000,2,1497,4420,1695,1480,5,42
Toyota,Fortuner 4x2 AT,1450000,2013,170669,1,2982,4705,1840,1850,7,80
Hyundai,Verna Fluidic 1.6 CRDi,565000,2014,68000,1,1582,4370,1700,1475,5,43
BMW,5-Series 520d Luxury Line,2550000,2015,70000,2,1995,4899,2094,1464,5,65
Hyundai,i20 Active 1.2 S,529000,2015,57654,1,1197,3995,1760,1555,5,45
Maruti Suzuki,Alto VXi (O),400000,2019,22000,1,998 ,3545,1490,1475,5,35
Maruti Suzuki,XL6 Zeta MT Petrol,975000,2019,41792,1,1462,4445,1775,1700,6,45
BMW,X1 sDrive20d Expedition,2600000,2017,41000,1,1995,4439,1821,1612,5,51
Mercedes-Benz,GL-Class 350 CDI,2390000,2013,107021,2,2987,5120,1934,1850,7,100
Kia,Seltos GTX Plus 1.4 [2020-2021],1550000,2019,17000,1,1353,4315,1800,1645,5,50
Maruti Suzuki,Alto VXi AMT,430000,2019,57993,1,998 ,3545,1490,1475,5,35
Maruti Suzuki,Baleno Delta 1.2,600000,2018,32000,1,1197,3995,1745,1500,5,37
Toyota,Corolla Altis VL AT Petrol,1650000,2018,25914,1,1798,4620,1775,1475,5,55
Audi,Q7 Technology 55 TFSI,9400000,2022,4500,1,2995,5064,1970,1703,7,85
Maruti Suzuki,Alto VXi,250000,2014,114000,2,998 ,3620,1475,1460,5,35
Mahindra,XUV500 W10 AT,994999,2016,105000,2,2179,4585,1890,1785,7,70
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],675000,2016,45000,1,1248,3995,1790,1640,5,48
Maruti Suzuki,Swift DZire VXI,455000,2014,30183,1,1197,3995,1695,1555,5,42
Maruti Suzuki,Wagon R VXI,345000,2016,73190,2,998 ,3599,1495,1700,5,35
BMW,X1 sDrive20i xLine,4700000,2022,13120,1,1998,4447,1821,1598,5,51
Hyundai,Elantra 1.8 SX MT,700000,2014,64000,1,1797,4530,1775,1470,5,56
Honda,City E Diesel,499000,2014,140000,1,1498,4440,1695,1495,5,40
Maruti Suzuki,Ciaz VXi,590000,2015,39000,1,1373,4490,1730,1485,5,43
Nissan,Micra XV CVT [2016-2017],490000,2014,56918,2,1198,3825,1665,1530,5,41
Maruti Suzuki,DZire VDi AMT,695000,2018,55000,1,1248,3995,1735,1515,5,37
Hyundai,Venue SX 1.4 CRDi,1025000,2019,42000,1,1396,3995,1770,1605,5,45
Volkswagen,Tiguan AllSpace 2.0 TSI,3375000,2021,25000,1,1984,4701,1839,1674,7,60
Toyota,Innova 2.4 VX 8 STR [2016-2020],2250000,2019,28000,1,2393,4735,1830,1795,8,55
Mercedes-Benz,GLA 200 d Sport,2650000,2018,43000,2,2143,4424,1804,1494,5,50
Maruti Suzuki,Baleno Delta 1.2,715000,2021,16000,1,1197,3995,1745,1500,5,37
Hyundai,Creta SX 1.6 AT CRDi,1200000,2019,27657,2,1582,4270,1780,1665,5,55
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],275000,2012,30000,1,998 ,3515,1500,1510,5,32
Honda,City 1.5 V MT,445000,2012,111000,1,1497,4440,1695,1485,5,42
Mercedes-Benz,A-Class A 200d,1850000,2016,37600,1,2143,4299,1780,1433,4,50
Maruti Suzuki,Baleno Alpha 1.3,665000,2017,48000,1,1248,3995,1745,1500,5,37
Hyundai,Creta EX 1.4 CRDi,1090000,2019,37000,1,1396,4270,1780,1665,5,55
Mercedes-Benz,S-Class S 350 CDI,5500000,2015,54000,1,2987,5246,1899,1494,5,70
Audi,A6 35 TDI Matrix,2400000,2017,81802,2,1968,4933,1874,1455,5,75
Hyundai,Verna SX Plus 1.6 CRDi AT,1085000,2018,45915,1,1582,4440,1729,1475,5,45
Hyundai,Alcazar Signature (O) 6 STR 2.0 Petrol AT,2140000,2021,24000,1,1999,4500,1790,1675,6,50
Honda,Amaze 1.2 V CVT Petrol [2018-2020],795000,2019,22224,1,1199,3995,1695,1501,5,35
Maruti Suzuki,Ertiga VXI CNG,1080000,2021,38000,1,1373,4296,1695,1685,7,45
Honda,Amaze 1.2 S MT Petrol [2018-2020],628000,2018,53848,1,1199,3995,1695,1501,5,35
BMW,3-Series 320d Luxury Line,1550000,2013,104264,2,1995,4633,1811,1429,5,57
Mercedes-Benz,E-Class E 200,2400000,2016,61159,2,1991,4879,1854,1474,5,80
Honda,City VX (O) MT,595000,2015,72000,1,1497,4440,1695,1495,5,40
Land Rover,Evoque SE,3450000,2016,29000,1,2179,4465,1900,1635,5,57
Honda,WR-V VX MT Petrol,819999,2018,42000,1,1199,3999,1734,1601,5,40
Audi,Q5 2.0 TDI quattro Premium Plus,1490000,2012,40000,1,1968,4629,1898,1653,5,75
Mahindra,XUV300 1.5 W6 [2019-2020],950000,2020,57400,1,1497,3995,1821,1627,5,42
Jaguar,XF Prestige Diesel CBU,3750000,2019,13500,2,1999,5067,2091,1457,5,66
Mercedes-Benz,C-Class C200 Progressive,4950000,2021,12400,1,1991,4686,1810,1442,5,66
Jeep,Compass Model S (O) Diesel 4x4 AT,2950000,2021,38000,1,1956,4405,1818,1640,5,60
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],1625000,2019,7000,1,1451,4655,1835,1760,5,60
Toyota,Fortuner 3.0 4x4 MT,1290000,2012,121000,2,2982,4705,1840,1850,7,80
Toyota,Etios Liva GD,625000,2015,76000,1,1364,3775,1695,1510,5,45
Mahindra,XUV500 W10,1490000,2018,50000,1,2179,4585,1890,1785,7,70
Hyundai,i10 Asta 1.2 AT with Sunroof,325000,2013,46721,2,1197,3565,1595,1550,5,35
Mahindra,XUV500 W10 AT,1190000,2017,41470,1,2179,4585,1890,1785,7,70
Mahindra,Scorpio VLX 2WD Airbag BS-IV,625000,2013,170000,3,2179,4430,1817,1975,8,60
Land Rover,Range Rover Sport SDV6 HSE,5375000,2014,80000,2,2993,4879,2073,1780,5,77
Honda,City ZX CVT Petrol [2017-2019],1138000,2018,6000,1,1497,4440,1695,1495,5,40
Audi,A4 1.8 TFSI Multitronic Premium Plus,4250000,2021,17000,1,1798,4701,1826,1427,5,63
Honda,Brio S MT,365000,2014,31000,1,1198,3610,1680,1500,5,35
Chevrolet,Cruze LTZ AT,475000,2014,73265,2,1998,4597,1788,1477,5,60
Hyundai,Creta SX 1.6 CRDi,1225000,2019,47000,1,1582,4270,1780,1665,5,55
Maruti Suzuki,Ertiga VDI SHVS,725000,2017,42000,1,1248,4296,1695,1685,7,45
Mercedes-Benz,GLA 200 CDI Sport,2450000,2017,25000,2,2143,4417,1804,1494,5,50
Hyundai,Sonata 2.0 CRDi,225000,2009,140000,3,1991,4800,1832,1485,5,70
Maruti Suzuki,DZire VXi AMT,695000,2018,68818,1,1197,3995,1735,1515,5,37
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],2200000,2018,57000,1,2755,4735,1830,1795,7,55
Honda,Amaze 1.5 VX CVT Diesel,950000,2020,39000,1,1498,3995,1695,1501,5,35
Toyota,Innova ZX 2.7 AT 7 STR,2598000,2022,12050,1,2694,4735,1830,1795,7,65
Honda,Jazz VX Petrol,585000,2017,24100,1,1199,3955,1694,1544,5,40
Ford,Aspire Titanium 1.2 Ti-VCT,434999,2017,23000,1,1196,3995,1695,1525,5,42
Maruti Suzuki,Swift VDi,295000,2009,185000,1,1248,3760,1690,1530,5,43
Maruti Suzuki,Ciaz Delta 1.5 Diesel,910000,2019,76000,1,1498,4490,1730,1485,5,43
Maruti Suzuki,Celerio VXi,565000,2020,47000,1,998 ,3695,1600,1560,5,35
Toyota,Urban Cruiser Premium Grade AT,1050000,2021,1910,1,1462,3995,1790,1640,5,48
Hyundai,Creta E Plus 1.4 CRDI,990000,2019,23000,1,1396,4270,1780,1630,5,60
Audi,A3 35 TDI Premium Plus,2590000,2020,36978,2,1968,4456,1796,1416,5,50
Mahindra,XUV500 W8 AWD [2015-2017],1000000,2016,33000,1,2179,4585,1890,1785,7,70
Hyundai,i10 1.1L iRDE ERA Special Edition,254999,2012,18954,1,1086,3585,1595,1550,5,35
Hyundai,Verna Fluidic 1.6 VTVT SX AT,598000,2015,58200,1,1591,4370,1700,1475,5,43
Hyundai,Elite i20 Asta 1.4 (O) CRDi,560000,2016,80000,2,1396,3985,1734,1505,5,40
Audi,A4 2.0 TDI (177bhp) Premium,975000,2011,75000,1,1968,4701,1826,1427,5,63
Audi,A3 35 TDI Premium,2600000,2017,64000,1,1968,4456,1796,1416,5,50
Skoda,Rapid Ambition 1.6 TDI CR MT,745000,2016,117048,1,1598,4386,1699,1466,5,55
Hyundai,Grand i10 Asta 1.2 Kappa VTVT,495000,2017,47000,1,1197,3765,1660,1520,5,43
Audi,A3 40 TFSI Premium Plus + sunroof,2450000,2018,43290,1,1798,4456,1796,1416,5,50
Mercedes-Benz,C-Class C 220 CDI Avantgarde,2850000,2016,7000,1,2143,4686,1810,1442,5,66
Mahindra,Scorpio S10,925000,2016,150000,1,2179,4456,1820,1995,8,60
Toyota,Fortuner 3.0 4x2 AT,1075000,2013,125000,1,2982,4705,1840,1850,7,80
Mercedes-Benz,E-Class E 350 d Exclusive [2017-2019],6225000,2019,42079,1,2987,5063,1860,1494,5,80
Audi,A6 2.0 TDI Premium,1500000,2014,69000,1,1968,4915,1874,1455,5,65
Mitsubishi,Pajero SFX 2.8,625000,2011,40000,2,2835,4755,1775,1900,5,92
Toyota,Etios G,325000,2011,101347,3,1496,4265,1695,1510,5,45
Mahindra,Marazzo M6 Plus 8 STR,1485000,2021,36700,1,1497,4585,1866,1774,8,45
Audi,A6 3.0 TDI quattro Premium,1650000,2012,240000,1,2967,4915,1874,1455,5,75
Audi,A3 35 TDI Premium,1800000,2014,76529,1,1968,4456,1796,1416,5,50
Toyota,Innova 2.5 VX 7 STR BS-III,1290000,2014,85000,2,2494,4585,1760,1760,7,55
Nissan,Terrano XL D Plus,600000,2016,99000,1,1461,4331,1822,1671,5,50
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],436000,2014,37959,2,1197,3765,1660,1520,5,43
Toyota,Fortuner 2.8 4x4 AT [2016-2020],4300000,2021,60000,1,2755,4795,1855,1835,7,80
Datsun,Go T (O),270000,2017,27000,1,1198,3785,1635,1485,5,35
Chevrolet,Cruze LTZ,320000,2011,75000,2,1991,4597,1788,1477,5,60
Hyundai,Creta SX 1.4 Turbo 7 DCT,1911000,2022,1300,1,1353,4300,1790,1635,5,50
BMW,X5 xDrive30d xLine,8600000,2020,21696,1,2993,4922,2004,1745,5,80
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],3900000,2019,33000,1,1950,4686,1810,1442,5,66
Volvo,V40 D3 R-Design,2000000,2016,6000,1,1984,4370,1783,1458,5,60
Hyundai,Santro Sportz AMT [2018-2020],465000,2019,19000,1,1086,3610,1645,1560,5,35
Honda,City V,875000,2019,58618,1,1497,4440,1695,1495,5,40
MINI,Cooper S,3200000,2017,10500,1,1998,3850,1727,1414,4,44
Mahindra,TUV300 T6 Plus,850000,2019,85641,1,1493,3995,1835,1839,7,60
Renault,Kwid 1.0 RXT AMT Opt,426999,2020,41669,1,999 ,3679,1579,1478,5,28
Mercedes-Benz,GLE 300d 4MATIC LWB,9200000,2022,10000,1,1950,4924,2157,1772,5,93
Hyundai,Creta 1.6 SX,1035000,2018,36000,1,1582,4270,1780,1630,5,60
Maruti Suzuki,DZire ZXi,695000,2018,31000,1,1197,3995,1735,1515,5,37
BMW,X1 sDrive20d xLine,3675000,2020,37180,1,1995,4454,2044,1545,5,63
Mahindra,Thar LX 4-STR Hard Top Diesel AT,1700000,2021,14000,1,2184,3985,1820,1844,4,57
Tata,Tiago Revotron XZ,449000,2018,53512,2,1199,3746,1647,1535,5,35
MG,Gloster Sharp 6 STR 2.0 Twin Turbo 4WD,3950000,2021,40000,1,1996,4985,1926,1867,6,75
Hyundai,Elite i20 Sportz 1.4,565000,2015,65000,2,1396,3985,1734,1505,5,45
BMW,X1 sDrive20d xLine,3775000,2019,32963,1,1995,4454,2044,1545,5,63
Mercedes-Benz,E-Class E220 CDI Blue Efficiency,1275000,2012,101000,2,2143,4868,1854,1470,5,80
Renault,Kwid 1.0 RXT Edition,375000,2018,14000,1,999 ,3679,1579,1478,5,28
Maruti Suzuki,Vitara Brezza ZDi,949000,2018,50500,1,1248,3995,1790,1640,5,48
Maruti Suzuki,Swift ZDi Plus,775000,2019,80849,1,1248,3840,1735,1530,5,37
Audi,A6 2.0 TDI Premium Plus,1800000,2014,19868,1,1968,4915,1874,1455,5,65
Honda,City VX CVT,825000,2016,45000,1,1497,4440,1695,1495,5,40
Hyundai,Santro Magna [2018-2020],509999,2019,30858,1,1086,3610,1645,1560,5,35
Mahindra,Scorpio S11 2WD 7 STR,1350000,2018,56500,1,2179,4456,1820,1995,7,60
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],650000,2020,37003,1,1197,3765,1660,1520,5,43
Honda,City ZX Diesel,1490000,2021,11000,1,1498,4440,1695,1495,5,40
Maruti Suzuki,Baleno Sigma 1.2,545000,2016,53000,1,1197,3995,1745,1500,5,37
BMW,3-Series 320d Luxury Line,2950000,2018,75000,1,1995,4633,1811,1429,5,57
Mercedes-Benz,E-Class E350 CDI Avantgarde,1150000,2010,120000,1,2987,4868,1854,1471,5,80
Audi,Q3 2.0 TDI quattro Premium,1850000,2013,44087,1,1968,4385,1831,1608,5,64
Mercedes-Benz,E-Class E250 CDI Avantgarde,1750000,2014,59000,1,2143,4879,1854,1474,5,80
Audi,Q7 45 TDI Premium Plus,5500000,2017,45000,1,2967,5052,1968,1740,7,75
Nissan,Sunny XV Diesel,360000,2013,92000,2,1461,4425,1695,1505,5,41
Ford,Ecosport Titanium 1.5L Ti-VCT,625000,2019,48422,1,1497,3998,1765,1647,5,52
BMW,3-Series 320d Luxury Line,4150000,2019,29000,1,1995,4633,1811,1429,5,57
Mahindra,Thar LX 4-STR Hard Top Diesel MT,1698999,2021,37500,1,2184,3985,1820,1844,4,57
Maruti Suzuki,Baleno Delta 1.2,484999,2018,62000,2,1197,3995,1745,1500,5,37
Audi,A4 30 TFSI Premium Plus,4250000,2020,17000,1,1395,4726,1842,1427,5,54
Maruti Suzuki,Ertiga VXI CNG,800000,2017,76642,1,1373,4296,1695,1685,7,45
Hyundai,Creta SX 1.6 (O) Petrol,1275000,2019,44000,1,1591,4270,1780,1665,5,55
Porsche,718 Boxster,9500000,2018,20000,1,1988,4379,1801,1281,2,54
BMW,3-Series 320d Luxury Line,1375000,2013,102000,2,1995,4633,1811,1429,5,57
Hyundai,Creta SX 1.5 Diesel [2020-2022],1700000,2022,9000,1,1493,4300,1790,1635,5,50
Mahindra,XUV500 W6 2013,500000,2013,135000,1,2179,4585,1890,1785,7,70
Mercedes-Benz,GLC 220d 4MATIC Progressive [2019-2021],6800000,2020,14500,1,1950,4658,1890,1644,5,66
Maruti Suzuki,DZire VXi AMT,715000,2019,31552,1,1197,3995,1735,1515,5,37
Maruti Suzuki,Wagon R VXI+ AMT,380000,2016,70000,1,998 ,3636,1475,1670,5,35
Honda,Brio E MT,375000,2016,35134,1,1198,3610,1680,1500,5,35
Land Rover,Range Rover Sport SDV6 SE,7200000,2016,45000,3,2993,4879,2073,1780,5,77
Mercedes-Benz,GLE 300d 4MATIC LWB,8190000,2020,18000,1,1950,4924,2157,1772,5,93
Maruti Suzuki,Swift ZXi AMT [2018-2019],695000,2018,8000,1,1197,3840,1735,1530,5,37
Hyundai,Creta 1.6 SX (O),875000,2016,62125,1,1582,4270,1780,1630,5,60
Land Rover,Discovery Sport HSE Luxury,3500000,2016,78000,1,1999,4600,2069,1690,7,65
Hyundai,i20 Active 1.2 SX,685000,2018,64300,1,1197,3995,1760,1555,5,40
Tata,Safari XZ Plus,1875000,2021,28000,1,1956,4661,1894,1786,7,50
Skoda,Octavia 1.8 TSI Ambition Plus AT,1685000,2017,28600,1,1798,4659,1814,1476,5,50
Audi,A6 35 TDI Matrix,2550000,2015,69500,2,1968,4933,1874,1455,5,75
Hyundai,Creta SX 1.6 CRDI,869999,2017,70000,1,1582,4270,1780,1630,5,60
Mahindra,Thar CRDe 4x4 AC,875000,2018,24000,1,2498,3920,1726,1930,6,60
Audi,Q3 2.0 TDI quattro Premium,1390000,2012,69500,1,1968,4385,1831,1608,5,64
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],825000,2019,25500,1,1248,3995,1790,1640,5,48
Maruti Suzuki,Ciaz Zeta 1.4 AT,785000,2017,20000,1,1373,4490,1730,1485,5,43
Mercedes-Benz,GLA 200 CDI Sport,2145000,2016,55000,2,2143,4417,1804,1494,5,50
Maruti Suzuki,Eeco 5 STR WITH HTR CNG [2018-2019],590000,2021,8640,1,1196,3675,1475,1800,5,40
Jaguar,XJ 3.0 Petrol,2550000,2013,65000,2,2995,5247,2110,1448,5,83
Mercedes-Benz,E-Class E 220 d Avantgarde,6500000,2019,5750,1,1950,5063,1860,1494,5,80
Volkswagen,Polo Highline1.2L (P),490000,2015,50000,1,1198,3971,1682,1469,5,45
BMW,7-Series 730Ld DPE,5950000,2017,28000,1,2993,5219,1902,1481,4,78
Hyundai,Tucson GL 2WD AT Diesel,2395000,2019,44876,1,1995,4475,1850,1660,5,62
Hyundai,i20 Sportz 1.4 CRDI,360000,2013,95610,2,1336,3995,1710,1505,5,45
Nissan,Sunny XV Diesel,325000,2013,51000,1,1461,4425,1695,1505,5,41
Land Rover,Evoque Dynamic SD4,2300000,2013,110000,2,2179,4355,2120,1635,5,57
Maruti Suzuki,Ertiga Vxi CNG,642000,2014,53693,1,1373,4265,1695,1685,7,60
Hyundai,Eon Era +,290000,2018,70000,1,814 ,3495,1550,1500,5,32
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],390000,2014,57000,1,1197,3765,1660,1520,5,43
Toyota,Corolla Altis 1.8 G AT,890000,2014,63000,1,1798,4540,1760,1480,5,55
Maruti Suzuki,Swift LXi,440000,2016,53807,1,1197,3850,1695,1530,5,42
Maruti Suzuki,Ciaz Delta 1.4 MT,721000,2018,46000,1,1373,4490,1730,1485,5,43
Skoda,Octavia 1.8 TSI L&K,1515000,2018,67546,2,1798,4670,1814,1476,5,50
Land Rover,Discovery Sport SE R-Dynamic Petrol,7000000,2021,14500,1,1997,4600,2069,1724,7,70
Honda,City V,949000,2018,37100,1,1497,4440,1695,1495,5,40
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],5500000,2019,30000,1,1950,5063,1860,1494,5,80
Renault,Kwid RXT [2015-2019],319000,2018,89059,1,799 ,3679,1579,1478,5,28
Maruti Suzuki,Ertiga VDi,459999,2013,77000,2,1248,4265,1695,1685,7,45
Volvo,V40 D3 R-Design,2100000,2018,42000,1,1984,4370,1783,1458,5,60
Maruti Suzuki,Baleno Delta 1.2,685000,2017,58146,1,1197,3995,1745,1500,5,37
MINI,Cooper S,3900000,2020,13000,1,1998,3850,1727,1414,4,44
Toyota,Etios GD,300000,2013,75000,2,1364,4265,1695,1510,5,45
Mercedes-Benz,GLE 250 d,5400000,2018,50500,3,2143,4819,2141,1796,5,93
Mercedes-Benz,GLS 350 d,6875000,2019,53000,1,2987,5130,1934,1850,7,100
Hyundai,Creta SX 1.6 (O) Petrol,1115000,2018,37000,2,1591,4270,1780,1665,5,55
Honda,City V CVT Petrol [2017-2019],761000,2017,38000,2,1497,4440,1695,1495,5,40
Maruti Suzuki,Baleno Zeta 1.2,825000,2021,8499,1,1197,3995,1745,1500,5,37
Hyundai,Elite i20 Magna 1.4 CRDI [2016-2017],650000,2016,61181,1,1396,3985,1734,1505,5,45
Honda,Jazz V Petrol,565000,2017,45000,1,1199,3955,1694,1544,5,40
Mercedes-Benz,S-Class 350,750000,2007,102000,1,3498,5076,1871,1473,5,90
Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,685000,2021,9232,1,1197,3805,1680,1520,5,37
Maruti Suzuki,Estilo VXi,135000,2008,72542,1,1061,3495,1495,1595,5,35
Hyundai,Elite i20 Magna Executive 1.2,609000,2018,42601,1,1197,3985,1734,1505,5,45
Mahindra,Scorpio LX BS-III,365000,2009,90000,2,2179,4430,1817,1975,8,60
Audi,Q7 45 TDI Premium Plus,5175000,2016,65000,1,2967,5052,1968,1740,7,75
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],2175000,2018,40000,1,2755,4735,1830,1795,7,55
Ssangyong,Rexton RX7,675000,2013,106223,2,2696,4755,1900,1785,7,78
BMW,X5 3.0d,1400000,2009,115000,2,2993,4854,1933,1776,5,85
Honda,Amaze 1.2 S i-VTEC Opt,480000,2016,50000,1,1198,3990,1680,1505,5,35
BMW,5-Series 520d Luxury Line [2017-2019],5800000,2020,30000,1,1995,4936,1868,1479,5,65
Audi,Q7 45 TDI Technology Pack,6700000,2018,39850,1,2967,5052,1968,1740,7,75
Hyundai,Elantra 1.6 SX AT,625000,2014,80000,1,1582,4530,1775,1470,5,56
Isuzu,MU-X 4x2,1791000,2017,96095,1,2999,4825,1860,1840,7,65
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],422000,2018,12768,1,1196,3675,1475,1800,5,40
Toyota,Corolla Altis VL AT Petrol,1295000,2018,65100,1,1798,4620,1775,1475,5,55
Hyundai,Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],495000,2017,30000,1,1197,3765,1660,1520,5,43
Tata,Tiago Revotron XTA [2017-2019],585000,2019,12000,1,1199,3746,1647,1535,5,35
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],3950000,2019,33000,1,1950,4686,1810,1442,5,66
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],7475000,2021,13000,1,1950,5063,1860,1494,5,80
Skoda,Rapid Elegance 1.6 MPI AT,425000,2013,57000,2,1598,4386,1699,1466,5,55
Mercedes-Benz,E-Class E 220d Expression [2019-2019],4150000,2017,48000,2,1950,5063,1860,1494,5,80
Audi,Q7 35 TDI Premium Plus + Sunroof,2475000,2012,118000,1,2967,5089,1983,1737,7,100
BMW,5-Series 520d Sport Line,2990000,2017,44000,2,1995,4936,1868,1479,5,57
Renault,Duster 85 PS RxL Diesel,280000,2013,99000,2,1461,4315,1822,1695,5,50
Mercedes-Benz,S-Class 350,1500000,2009,75000,2,3498,5076,1871,1473,5,90
BMW,6-Series GT 630d Luxury Line [2018-2019],5100000,2019,79000,1,2993,5091,1902,1538,5,68
Toyota,Fortuner 3.0 MT,825000,2010,114000,2,2982,4695,1840,1850,7,80
Maruti Suzuki,Wagon R LXI CNG (O),310000,2014,82000,1,998 ,3599,1495,1700,5,35
Honda,Jazz V AT Petrol,595000,2016,80000,1,1199,3955,1694,1544,5,40
Jeep,Compass Limited 2.0 Diesel [2017-2020],1240000,2017,57000,1,1956,4395,1818,1640,5,60
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],328000,2018,26807,2,1196,3675,1475,1800,5,40
Hyundai,Elite i20 Sportz 1.2,625000,2018,23000,1,1197,3985,1734,1505,5,40
Maruti Suzuki,Swift VDi,409999,2015,112000,1,1248,3850,1695,1530,5,42
Maruti Suzuki,Swift DZire ZXI,545000,2015,70000,1,1197,3995,1695,1555,5,42
Volkswagen,Polo Trendline 1.0L (P),699000,2019,53929,1,999 ,3971,1682,1469,5,45
Maruti Suzuki,Celerio LXi,390000,2014,49580,1,998 ,3600,1600,1560,5,35
Toyota,Corolla Altis GL,680000,2014,85000,2,1364,4620,1775,1475,5,50
Maruti Suzuki,Ciaz ZDi SHVS,625000,2015,61000,1,1248,4490,1730,1485,5,43
Maruti Suzuki,Wagon R LXi LPG,235000,2012,35000,2,998 ,3595,1475,1700,5,28
Mahindra,Scorpio S2,951000,2016,42000,1,2523,4456,1820,1930,8,60
Honda,City 1.5 V AT,550000,2011,69000,2,1497,4420,1695,1480,5,42
Jeep,Compass Limited 1.4 Petrol AT [2017-2020],1350000,2017,70000,1,1368,4395,1818,1640,5,60
Hyundai,i10 Magna 1.2 Kappa2,325000,2013,15780,1,1197,3585,1595,1550,5,35
Audi,Q7 35 TDI Premium + Sunroof,2600000,2015,46000,1,2967,5089,1983,1737,7,100
Maruti Suzuki,Ciaz ZXI+,640000,2016,50800,1,1373,4490,1730,1485,5,43
Toyota,Corolla Altis 1.8 VL AT,450000,2011,95000,1,1794,4540,1760,1480,5,55
BMW,5-Series 520d Sedan,750000,2010,112000,2,1995,4841,1846,1468,5,70
Audi,A6 Technology 45 TFSI,5300000,2020,36000,1,1984,4939,1886,1457,5,73
Volvo,XC60 Inscription [2017-2020],5800000,2019,3500,1,1969,4688,1902,1658,5,71
Maruti Suzuki,Vitara Brezza ZDi,801000,2018,30000,1,1248,3995,1790,1640,5,48
Mahindra,Scorpio S6 Plus 1.99 [2016-2017],1090000,2017,19000,1,1997,4456,1820,1995,8,60
Maruti Suzuki,Alto VXi,245000,2014,31100,2,998 ,3620,1475,1460,5,35
Honda,Amaze 1.2 S i-VTEC,475000,2014,65000,2,1198,3990,1680,1505,5,35
Toyota,Fortuner 2.8 4x4 AT [2016-2020],2800000,2017,49000,2,2755,4795,1855,1835,7,80
